,Word,Frequency
1296,cheese.—Add,1
1297,black,1
1298,pepper,1
1299,taste.,1
1300,well.—Spread,1
1301,between,1
1302,2,4
1303,slices,2
1304,sandwich.—On,1
1305,outer,1
1306,sides,1
1307,"sandwich,",1
1308,spread,1
1309,heated,1
1310,pan.—Serve,1
1311,mayo,2
1312,chutney.#mayosandwich,1
1313,#grilledsandwich,1
1314,#cheesysandwich,1
1315,#sandwich,1
1316,#mayonnaise,1
1317,#veg,1
1318,#cheese,1
1319,#bread,1
1320,#colslaw1wbarimarwein87What,1
1321,use??1wReplyView,1
1322,(2)ishanvi_17yummyyyyy,1
1323,delicious1w1,1
1324,likeReplyanayyarajpoot26Woo,1
1325,yummmmmmmmy,1
1326,😍👌👌😀😀😊😀1wReplyvishnusreeroyalDelicious,1
1327,Sandwich👌🏻1wReplywinnie_bhojwaniI,1
1328,loving,1
1329,it😍😍😍❤️❤️❤️1wReply_vidyashaaa_Creamy,1
1330,delightful.....❤️❤️👌👌1wReplyhanfiya7058👍1wReplytarupravesh🤗🤗1wReplysawmiak😋😋😋1wReplyfoodieforever_2407Sandwich,1
1331,❤️1wReplyfatima_ruhi😋😋😋😋😋yummmy,1
1332,easy♥️1wReplyj.nehaSuper,1
1333,duper,1
1334,owsum,1
1335,it😋😋😋😋1wReplyAugust,1
1336,othersfoodrush.recipeEver,1
1337,thought,2
1338,tart,1
1339,healthy?,1
1340,Here,2
1341,most,3
1342,liked,1
1343,dessert,1
1344,healthier,1
1345,form.,1
1346,Dryfruit,1
1347,Tart,1
1348,everyone,1
1349,amazed,1
1350,silky,1
1351,smooth,1
1352,yet,1
1353,dessert!!!😋1waarti9694Do,1
1354,"comment,",1
1355,fast,1
1356,note1w2,1
1357,likesReplyHide,2
1358,repliesshivani.29.10Awsm🔥1w2,1
1359,likesReplyj.nehaHealthiest,1
1360,recipie😋1wReplyHide,1
1361,repliesjust.mehakYour,1
1362,every,1
1363,singel,1
1364,wow,2
1365,factor,1
1366,😍😍😍,2
1367,recipes1wReplyHide,1
1368,repliessamayra7864Aaye,1
1369,haye😋😋😋😋😋😋😋1w1,1
1370,likeReply_aakku_10😍😍😍👌👌👌1w1,1
1371,likeReplyinaz645🤤🤤1w1,1
1372,likeReplymr.mrs.dhillon13Wwwooo,1
1373,😋👌😋👌😋👌😋😋😋1w1,1
1374,likeReplyothilstellaWow,1
1375,yummy😋😋😋1w1,1
1376,likeReplysravanthisravs11Yum,1
1377,yum😋1wReplyi_am_i_n_e_v_i_t_a_b_l_e_😍❤️🖤🖤💚1w1,1
1378,likeReplyreenarajput516Too,1
1379,healthy1wReplyAugust,1
1380,7Post,2
1381,foodrush.recipe•Followfoodrush.recipeWhen,1
1382,does,1
1383,salad,1
1384,started,1
1385,getting,1
1386,?Chicken,1
1387,Pasta,2
1388,Salad,2
1389,deliciousness.,1
1390,It’s,1
1391,"healthy,",1
1392,scrumptious,1
1393,snack,1
1394,😀1wisha_5704👏👏1w2,1
1395,likesReplychefsplanWaoo🔥🔥🔥🔥1w1,1
1396,likeReplyaditi_dhamal3Yummy,1
1397,😋😋1wReplyammuu_46Pastaa,1
1398,Lovers😍❤️1w1,1
1399,likeReplyammuu_46Delicious😋❤️1w1,1
1400,likeReplyammuu_46💕💕💕1w1,1
1401,likeReplythe_vishu_43🔥😋😍👌🔥1wReplythe_vishu_43❤️😍😋😍👍👏👍😍👏1wReplysravanthisravs11My,1
1402,fvt,1
1403,pasta,1
1404,recipe🔥😋1wReplyvarunpasrija22Wow,1
1405,pasta👌👌😍1wReplyi_am_i_n_e_v_i_t_a_b_l_e_😍😍😍1w1,1
1406,likeReplyreenarajput516Yummm1wReplyAugust,1
1407,5Post,1
1408,gracemoloney1,1
1409,othersfoodrush.recipeWant,1
1410,Rakshabandhan,2
1411,treat??,1
1412,Then,1
1413,chocolicious,1
1414,donuts,1
1415,ones,1
1416,lighting,1
1417,discover,2
1418,surprise,1
1419,!!!!,1
1420,#chocolate,1
1421,#festive,1
1422,#donuts,1
1423,#dessert,1
1424,#love,1
1425,#brother,1
1426,#sister,1
1427,#darkfantasy,1
1428,#surprise,1
1429,#doughnuts,1
1430,#fried,1
1431,#chocolicious,1
1432,#rakshabandhan,1
1433,#rakhi,1
1434,#celebrations,1
1435,#cookies2wjagfoodieNice!,1
1436,😍😍👌2wReplyView,1
1437,(1)kavya.manchekarGreat😍😍😍2w2,1
1438,(1)784.its.kaur😍😍😍😍😍😍❤️2wReplyView,1
1439,(1)ssharmaxxviiWah..2wReplyView,1
1440,(2)vlogsrowdy😍😍2w1,1
1441,(1)its_nilima77👌👌💕💕Nyc2w1,1
1442,(1)the_vishu_43😋😋😋😋😋😋2w1,1
1443,(1)lynneishungryOmg,1
1444,😍🤤2w1,1
1445,(1)reshma_dinguThank,1
1446,recipe2w1,1
1447,"(1)reshma_dinguWow,",1
1448,yummy.2wReplyView,1
1449,(1)atiqabushra_98😋😋2wReplyView,1
1450,(1)binod_here_Tasty,1
1451,×100,1
1452,😋😋😋2wReplyView,1
1453,(1)August,1
1454,2Post,1
1455,othersfoodrush.recipeEasy,1
1456,biscuit,1
1457,melts,1
1458,heaven,1
1459,earth.,1
1460,20,1
1461,mins,1
1462,Powder.2wsabrin_581,1
1463,gram,1
1464,?2wReplyView,1
1465,(2)_mussiiii_17If,1
1466,available2w2,1
1467,likesReplylpool_halal_eatsCan,1
1468,put,2
1469,grams,1
1470,please.,1
1471,Thanks,1
1472,advance.2w1,1
1473,likeReplythaheerabegum786How,1
1474,bake,1
1475,oven2w1,1
1476,likeReplynupurgor_95Without,1
1477,???2w1,2
1478,likeReplywild_dust_No,1
1479,baking,1
1480,/soda??2w1,1
1481,likeReplyj.nehaNo,1
1482,need,4
1483,bakingpowder,1
1484,likeReplysha_ki_23Yummy😋1wReply_.harshsingh._45Wowwww......,1
1485,Unimaginable,1
1486,biscuits😋😋1wReplysonipriyanka326Cookis,1
1487,😍1wReplythe_vishu_43😋😋😋😋😋👏🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥😋😋😋😋😋👏🔥🔥🔥🔥🔥😍😍1wReplyaditi_dhamal3Yummy,1
1488,😋😋😍😍1wReplyAugust,1
1489,1Post,1
1490,othersfoodrush.recipeGiving,1
1491,gourmet,2
1492,easily,1
1493,everyday,1
1494,home.@weikfieldind,1
1495,Penne,1
1496,"Lasagna,",1
1497,tasty,1
1498,😀2wcooksbymoodAll,1
1499,❤️😍👌🏻1wReplyView,1
1500,(1)iam_groot_9995Pls,1
1501,speed,1
1502,video..,1
1503,we're,1
1504,hardly,1
1505,able,2
1506,note,1
1507,Plus..,1
1508,doesn't,1
1509,allow,1
1510,rewind,1
1511,seconds.2w12,1
1512,(2)megha722Please,1
1513,pen,1
1514,to2w3,1
1515,likesReply001reetsaini❤️❤️❤️😍2w2,1
1516,likesReplykalpanakaranvu😋😋😋😍😍😍2w1,1
1517,likeReplypa_luckYuck!!,1
1518,Ketchup,1
1519,spoilt,1
1520,all!!2w2,1
1521,likesReplyanjali356❤️❤️❤️2w1,1
1522,likeReplyjenishaaaaaaYummm💕💕2w1,1
1523,likeReplythe_vishu_43😋😋😋😋😋😋😋😋1wReplythe_vishu_43😋😋😋😋😋😋😋😋😋1wReplythe_vishu_43😋😋😋😋😋😋😋😋😋1wReplythe_vishu_43😋😋😋😋😋😋😋1wReplyJuly,1
1524,29Post,2
1525,dilsefoodieVerified•FollowLiked,10
1526,aaloogobhi,1
1527,othersdilsefoodieVerifiedCycle,1
1528,Wale,1
1529,Rasgulelong,1
1530,back,3
1531,Rasgule,1
1532,Meethi,1
1533,Bread.,1
1534,Kasam,1
1535,Se,1
1536,Bachpan,1
1537,yaadein,1
1538,taaza,1
1539,kardi,1
1540,thi,1
1541,ne.#dilsefoodie23hmaan00112Itna,1
1542,hogya,1
1543,apko,1
1544,banate,1
1545,"hue,",1
1546,care,1
1547,Uski,1
1548,cart,1
1549,k,6
1550,Chad,1
1551,kha,5
1552,rhe,1
1553,ho,8
1554,"bilkul,",1
1555,he,3
1556,piche,1
1557,hoke,1
1558,Khao.,1
1559,Apki,1
1560,toh,2
1561,ban,1
1562,gyi,1
1563,aur,3
1564,b,1
1565,log,2
1566,kahayenge,1
1567,ake.,1
1568,manners,1
1569,.,3
1570,👎👎👎👎👎21h16,1
1571,(4)gurmeet_kaur_Esi,1
1572,chiz,1
1573,ko,5
1574,dekh,1
1575,dieting,1
1576,reheti,1
1577,h😂😂😂23h2,1
1578,likesReplymanisha__yadav2031Pay,1
1579,krte,1
1580,na,1
1581,bhaiya,1
1582,??23h4,1
1583,(5)saurabhv_iBhaiya,1
1584,mask,2
1585,tumhara?23h3,1
1586,(2)bhanu_pratap005Paaji,1
1587,aap,1
1588,Mukherjee,1
1589,nagar,2
1590,Batra,1
1591,cinema,1
1592,pass,2
1593,"""Manjeet",1
1594,Chicken,4
1595,centre,1
1596,"""",1
1597,ka,6
1598,tawa,1
1599,"kijiye,",1
1600,fan,1
1601,jaenge,1
1602,aap21hReplyView,1
1603,(3)deepansh.12Kidher,1
1604,bhaiya🔥23h1,1
1605,(1)divyanshi_nagpalWhy,1
1606,charge,2
1607,small,1
1608,vendors,1
1609,promotions???,1
1610,",",6
1611,hard,1
1612,work,2
1613,earning,1
1614,their,11
1615,butter...🙄🙄🙄🙄19hReplyView,1
1616,(1)world_wide_food_bloggerWOW!,1
1617,😍😍,1
1618,CRAVING,1
1619,FOR,1
1620,THIS23h1,1
1621,likeReplyrahul3214thakurBhai,1
1622,kuch,2
1623,bhi,6
1624,kr,2
1625,liya,1
1626,khane,2
1627,alawa18h1,1
1628,likeReplykurushdalalOoof💟19hReplythe.foodie.yatraAmazing20hReply5.devendrasingh_ranaHello,1
1629,..My,1
1630,suggestion,2
1631,State,1
1632,Maharashtra,1
1633,District,1
1634,jalgaonCity,1
1635,BhusawalDhaba,1
1636,shere,1
1637,punjab,1
1638,chehel,1
1639,Is,3
1640,mutton,5
1641,chiken,1
1642,😋.,1
1643,Chehel,1
1644,milk,2
1645,sev,1
1646,bhaji..,1
1647,yumm...😋20hReply23,1
1648,saipooja553,6
1649,othersdilsefoodieVerifiedMeet,1
1650,Agrrim,1
1651,Who,2
1652,Suffering,1
1653,From,4
1654,Blood,1
1655,CancerSurprise,1
1656,Birthday,1
1657,Party,1
1658,First,1
1659,Episode,2
1660,Of,2
1661,Lunch,1
1662,With,2
1663,Subscriber#dilsefoodie1dthehungryclonesthis,1
1664,pure,2
1665,😭❤️,1
1666,series,1
1667,karan,2
1668,bhaiya💯1d7,1
1669,likesReplysumehrsinghPls,1
1670,well,1
1671,soon!1d5,1
1672,replies__beyourself____s♥️♥️1d1,1
1673,likeReplyhardeepparhar93love,1
1674,bro,1
1675,❤️❤️❤️1d1,1
1676,(1)ianuraggroverkya,1
1677,baat,2
1678,dua,2
1679,ji🙌🙌,1
1680,hats,1
1681,off,1
1682,uh,2
1683,this..,1
1684,god,2
1685,nd,3
1686,birthday,1
1687,ji,3
1688,uh...,1
1689,fit1d2,1
1690,likesReplysufi1244Super,1
1691,person1d2,1
1692,likesReplytarun031089Respect,1
1693,courage,1
1694,strength,1
1695,his,2
1696,fighting,1
1697,big,1
1698,problem,1
1699,holding,1
1700,smile🤗1d2,1
1701,likesReply19kunalGood,1
1702,sir1d2,1
1703,likesReplypriyanshijha16You,1
1704,Gained,1
1705,respect,1
1706,Sir🙌🙌🙌❤️1d2,1
1707,likesReplykantajhuraniSai,1
1708,rahem,1
1709,nazar,1
1710,Karna,1
1711,bachon,1
1712,palan,1
1713,karna,1
1714,yahan,1
1715,har,1
1716,kabool,1
1717,hotee,1
1718,bachey1d2,1
1719,likesReplysufi1244Salute❤️1d1,1
1720,likeReplykunwarkapoorBhai,1
1721,tum,1
1722,ho..1d1,1
1723,othersdilsefoodieVerifiedMakhani,1
1724,Soyachaap,3
1725,BiryaniAmazing,1
1726,Makhani,2
1727,Biryani,1
1728,Can,1
1729,Also,2
1730,Buy,1
1731,Amazon,1
1732,Search,1
1733,Desi,1
1734,Treat,1
1735,items.,1
1736,#dilsefoodie2dkaran.kakkar.9The,1
1737,quality,4
1738,chaap,5
1739,isn't,1
1740,Stop,1
1741,promoting,1
1742,useless,1
1743,things2d16,1
1744,(13)jas_8476Correct,1
1745,hamare,1
1746,yehan,1
1747,soya,2
1748,nhi,1
1749,milta,1
1750,me2d3,1
1751,(3)gm_the_artsy_lensStop,1
1752,talking,1
1753,more.,1
1754,Getting,1
1755,irritating2d1,1
1756,likeReplydeepansh.12Ye,1
1757,late,1
1758,phele,1
1759,YouTube,1
1760,pe,3
1761,Dala,1
1762,ab,2
1763,pe2d1,1
1764,likeReplyHide,1
1765,repliesmr_4n1_kum4rBiryani,1
1766,lover2dReplyHide,1
1767,repliesankoorhagarwalWe,1
1768,think,3
1769,someone,2
1770,than,3
1771,clearify,1
1772,rather,1
1773,negative,1
1774,hai2d1,1
1775,likeReplyayushchanana8Maine,1
1776,aj,2
1777,hi,4
1778,bnaya,1
1779,Makhni,1
1780,biryani..,1
1781,manufacturer,1
1782,ghr,1
1783,mil,2
1784,gyi2d1,1
1785,likeReplytrulyfoodyz123Hello,1
1786,guys!,1
1787,We,2
1788,current,1
1789,scenario,1
1790,market,3
1791,affected,1
1792,due,1
1793,COVID-19,1
1794,outbreak!,1
1795,"We,",1
1796,'Truly,1
1797,Foodyz',1
1798,brought,1
1799,idea,1
1800,masks,1
1801,sanitizers,1
1802,stall,1
1803,owners,1
1804,"workers,",1
1805,teaching,1
1806,hygiene,2
1807,surroundings.,1
1808,requesting,1
1809,support,2
1810,we'd,1
1811,appreciate,1
1812,lot,2
1813,visit,2
1814,profile,1
1815,give,2
1816,honest,1
1817,feedback,1
1818,"work...Also,",1
1819,post,4
1820,daily,2
1821,'Mouth,1
1822,Watering',1
1823,posts.,1
1824,foody,1
1825,consider,1
1826,following,1
1827,us!2d1,1
1828,likeReplyshammi1258_Jub,1
1829,grave,1
1830,liye,3
1831,dale,1
1832,sath,1
1833,wo,2
1834,dusri,1
1835,kya,2
1836,dali,1
1837,jaisa,2
1838,tha,3
1839,batayen2d1,1
1840,likeReplymr_4n1_kum4r👌2d1,1
1841,likeReplymahesh.inder👌2d2,1
1842,likesReplymissjha_greedygutsYummm😍😍😍😍😍2d1,1
1843,likeReply2,1
1844,the_good_goodies_bakery,1
1845,othersdilsefoodieVerifiedTotal,1
1846,Bill,1
1847,Rs.106000Had,1
1848,Fish,1
1849,Burger,2
1850,Salami,1
1851,At,2
1852,Veer,1
1853,Ji,2
1854,"Burger,",1
1855,Geeta,1
1856,Colony#dilsefoodie2dits_me_maanavY,1
1857,clickbait,1
1858,videos2d9,1
1859,(6)mayank_msdIt,1
1860,bad,5
1861,burger...,1
1862,went,1
1863,yesterday,1
1864,friend,1
1865,..,5
1866,ordered,1
1867,same,2
1868,fish,2
1869,burger,6
1870,salaami,1
1871,review,1
1872,gave,1
1873,biased...,1
1874,Price,1
1875,justified,1
1876,shown,1
1877,nothing,1
1878,sort,1
1879,Salaami,1
1880,stiff,1
1881,crunchy,1
1882,Excessive,1
1883,pathetic,1
1884,conclusively,1
1885,lost,1
1886,trust..,1
1887,Not,2
1888,recommendations,1
1889,anymore,1
1890,..👎2d26,1
1891,(4)pulkit_lawyerbhai,1
1892,bill,4
1893,zero,1
1894,faltu,1
1895,lag,1
1896,rahi,1
1897,hain2d6,1
1898,(3)mask_1_4__manInki,1
1899,maal,1
1900,malaysia,1
1901,s,2
1902,aata,1
1903,aarha,1
1904,🤣🤣🤣🤣,1
1905,#chutiya,1
1906,bnayo,1
1907,janta,1
1908,ka2d7,1
1909,likesReplywho_is_mashhadiItne,1
1910,apun,1
1911,dubai,1
1912,🍔,1
1913,aa,3
1914,jata,1
1915,bsdk2d6,1
1916,likesReplynadeemmalik884Dont,1
1917,Videos,1
1918,For,1
1919,Good,1
1920,Payments.,1
1921,Visited,1
1922,wasn't,1
1923,Good.,1
1924,trust,1
1925,issue,1
1926,oye,1
1927,hoye,1
1928,😤😤2d6,1
1929,likesReplyshweta_rohatgiHum,1
1930,normal,2
1931,mai,1
1932,khush,1
1933,bhai😂😂😂2d3,1
1934,likesReplyanshul9078Chutiya,1
1935,chutiya,1
1936,paise,1
1937,leke,1
1938,fake,2
1939,reveiw,1
1940,dene,1
1941,wale,1
1942,sabase,1
1943,bade,1
1944,chutiye,1
1945,ap,1
1946,pados,1
1947,main,3
1948,rehete,1
1949,inake,1
1950,milate,1
1951,shaam,1
1952,reveiw2d1,1
1953,likeReplyminnie_navmita106000!!!???💙😒😒😒2d1,1
1954,likeReplychatpate_chattkareWaah,1
1955,waaaah2d1,1
1956,likeReplybharat210586I,1
1957,aapki,2
1958,poori,1
1959,team,1
1960,30-40,1
1961,gye,1
1962,honge,1
1963,isiliye,1
1964,Rs.,1
1965,106000/-,1
1966,bann,1
1967,gya,2
1968,hoga,1
1969,😜🤣🤣🤣🤣🤣1d1,1
1970,likeReplypreetsaini5064Ina,1
1971,bada,2
1972,haye,1
1973,mera,1
1974,dil2dReply2,1
1975,othersdilsefoodieVerifiedLamb,1
1976,Chops,1
1977,Without,1
1978,TandoorRecipe,1
1979,By,3
1980,@chefmahendraraj,1
1981,London,1
1982,#dilsefoodie3dpujasakhlaBhai,1
1983,lamb,1
1984,mat,2
1985,khao,1
1986,usme,1
1987,corona,1
1988,rha,1
1989,ajkal3d2,1
1990,(1)iabhishekkumarrrTooo,1
1991,yummy3d4,1
1992,likesReplygreenearth.asiaBest😍3d2,1
1993,(1)harshis__foodacityJus,1
1994,tooo,1
1995,😍3d1,2
1996,(1)eatwithruchiMaza,1
1997,agaya,2
1998,sachi,1
1999,❤️❤️3d1,1
2000,(1)foodvoyagerbadhanDrooling,1
2001,(1)pratima_mourya_28Wow😋😋😋😋3d1,1
2002,(1)mayankgulia3🔥🔥🔥🔥3d2,1
2003,likesReplybhukkarfoodieMouth-watering,1
2004,🤤3d2,1
2005,likesReplyplate_overloadedDelicious,1
2006,looking🤗3d1,1
2007,(1)gastronomicjournalSo,1
2008,good3d1,1
2009,likeReplyinventorying101😍3d1,1
2010,likeReply3,2
2011,happy_bites_by_kritika,1
2012,othersdilsefoodieVerifiedExperience,1
2013,Awesome,2
2014,City,2
2015,SamsungExperience,1
2016,Samsung,1
2017,where,6
2018,Awesomeness,1
2019,Food,2
2020,Karan,1
2021,Dua,1
2022,exclusively,1
2023,Radio,1
2024,City.,1
2025,#AwesomenessWithSamsung,1
2026,#AwesomeCity,1
2027,#GalaxyA31,1
2028,#GalaxyA514dvikasdeep1616Follow,1
2029,me4d3,1
2030,likesReplysuprit_mishra😍4d2,1
2031,likesReplyfoodieforeverandever23Superb4d2,1
2032,likesReplycravingtoeatArrey,1
2033,GAJAB,1
2034,🤩🤩🤩4d1,1
2035,likeReplytaru.patel.1422Nice👌👌4d1,1
2036,likeReplydesiduniyafoodtalkCentral,1
2037,foodies,1
2038,hub4d1,1
2039,likeReplycuty_beautyf_khan❤️4dReplykolkatadelitesLoved,1
2040,😍4dReplyvjychauhan🎉🎉congratulations,1
2041,sa3dReplyfoodvoyagerbadhanLuscious,1
2042,😍😋3dReplyfood_fresco😍🔥4dReplyms_02062004Plz,1
2043,explore,2
2044,Afghani,1
2045,places,3
2046,Saket,1
2047,"Lajpat,",1
2048,Israeli,1
2049,Pahanrganj,1
2050,Tibetian,1
2051,Majnu,1
2052,Tila3dReply4,1
2053,othersdilsefoodieVerifiedCheesy,1
2054,Chilli,1
2055,Garlic,1
2056,Maggi,1
2057,@chatpati_shikhaMujhe,1
2058,Ek,1
2059,Dum,1
2060,Simple,1
2061,Wali,1
2062,Pasand,3
2063,Hai,2
2064,Aap,1
2065,Batao,1
2066,Apko,1
2067,Kaisi,1
2068,?#dilsefoodie4dmanpreet.somiPani,1
2069,jayda,1
2070,dal,5
2071,diya.4d30,1
2072,likesReplydivya.thareja.04Arey,1
2073,half,1
2074,maggi,1
2075,kiske,1
2076,"rakhdi,",1
2077,3,2
2078,dete,1
2079,puri,1
2080,😂4d8,1
2081,(2)ayusshsharrma🤣,1
2082,phli,1
2083,baar,2
2084,ri,1
2085,sauce..mai,1
2086,saal,1
2087,phle,1
2088,khaata,1
2089,mayonnaise4d10,1
2090,likesReplyjatin9598Maggi=🤮4d11,1
2091,(7)varunfuriaThe,1
2092,Original,1
2093,better.,1
2094,variation,1
2095,fine...4d5,1
2096,likesReplythe_travel_expressAreyy,1
2097,bhadia👌4d4,1
2098,likesReplyashmitachauhan93So,1
2099,yummy4d2,1
2100,(1)v_s_foodsLooks,1
2101,amazing4d1,1
2102,likeReply_mr._lachhwani_bhot,1
2103,jada,1
2104,pesand,1
2105,muje,1
2106,.....,1
2107,mhu,1
2108,panii,1
2109,gaya,2
2110,yar,1
2111,🔥,1
2112,..😋😋😋4d1,1
2113,likeReplythefoodieshubWaah,1
2114,hai👌🏻4d1,1
2115,likeReplyheart__for_sales@_ppr_priyanka_,1
2116,@___l.u.m.p.k.i.n___,1
2117,amti,1
2118,kariki,1
2119,pathaaa,1
2120,re..😋😋🙁😥🥺🥺😚🥰4d2,1
2121,(6)simran.17.1996@the_suryansh_agrahari,1
2122,@bhumie.2004,1
2123,@vaibhav_79_4d2,1
2124,(2)4,1
2125,foodconnectindia,1
2126,othersdilsefoodieVerifiedCar,1
2127,Restaurant,1
2128,North,1
2129,DelhiOpposite,1
2130,Permanand,1
2131,Hospital#dilsefoodie5dsumit.maamJammu,1
2132,rajma,1
2133,koi,1
2134,beat,1
2135,nai,1
2136,sakta,1
2137,ek,1
2138,no.,1
2139,Wikipedia,1
2140,tak,1
2141,par,1
2142,lekha,1
2143,h.5d4,1
2144,(1)jattdiqueen__❤️❤️5d3,1
2145,likesReplydesiduniyafoodtalkLooks,1
2146,damn,2
2147,😀😀😀5d3,1
2148,likesReplyabhinav.gulati92Bhai....,1
2149,Overreact,1
2150,kaam,1
2151,kiya,1
2152,kr.....,1
2153,🙏🙏Please4d1,1
2154,likeReplyfoodvoyagerbadhanAhha,1
2155,Droolsome,1
2156,😍😋5d1,1
2157,likeReplydizzi_ripGhar,1
2158,bahar,1
2159,kyu,2
2160,aye,1
2161,?😂😂😂....by,1
2162,videos5d1,1
2163,likeReplytheadikashWe,1
2164,♥️😊,1
2165,blogger,1
2166,♥️5d1,1
2167,likeReplyatharvjaiswaMayapuri,1
2168,phase,1
2169,214h1,1
2170,likeReplydeepanssh🔥😍5d1,1
2171,likeReplysunainabeeYaaas,1
2172,#supportsmallbusiness,1
2173,truest,1
2174,sense5d1,1
2175,likeReplydillisheharwali😋😋😋5d1,1
2176,likeReplyrubiya_kalandar14https://instagram.com/stories/rubiya_kalandar14/2375502824471941424?utm_source=ig_story_item_share&igshid=h0ug203jzx5s3d1,1
2177,likeReply5,2
2178,othersdilsefoodieVerifiedDugDugDug,1
2179,Pritam,1
2180,Meat,1
2181,WalaAmazing,1
2182,Taste,1
2183,Reasonable,1
2184,Price#dilsefoodie6ddebdiptaofficialAj,1
2185,janmastami,1
2186,vai,1
2187,chor,1
2188,do6d3,1
2189,(5)cravingtoeatPaaji,1
2190,Aaj,1
2191,Janmasthami,1
2192,"hai,",1
2193,avoid,1
2194,non,2
2195,💁🙅6d5,1
2196,likesReplylostkabristan89Butter,1
2197,chlole,1
2198,"bhature,",1
2199,"meat,",1
2200,manmeet(Amul,1
2201,butter),1
2202,aaage,1
2203,badho,1
2204,Bahut,1
2205,karne,1
2206,!6d2,1
2207,likesReplykhaandashaukeenDekh,1
2208,maza,1
2209,aagaya😍6d2,1
2210,likesReplyrishirana784Bhai,1
2211,aapke,1
2212,khana,1
2213,jaise,1
2214,lie,1
2215,unhone,1
2216,headcap,1
2217,pehne,1
2218,naa,2
2219,scripted,1
2220,content,3
2221,lagta,1
2222,🤯🤯6d1,1
2223,likeReplymr.pathrefoodhttps://www.youtube.com/channel/UC-2p3jjkwA6GPKwFu6Yz8Ag6d1,1
2224,likeReplyindianfoodierasoi😋😋6d1,1
2225,likeReplythefoodie_lawyer💯❤️6d1,1
2226,likeReplykshitijahuja743Very,1
2227,shady,1
2228,place👎6d1,1
2229,likeReplythe.hypeheadSir..Tuesday,1
2230,veg,1
2231,kijiye😅😭😂6d1,1
2232,likeReplyrichabatra_blogSuper,1
2233,yummm👌🏻👌🏻👌🏻6d1,1
2234,likeReplymayankgulia3🔥🔥🔥Hot,1
2235,Paji🔥🔥6d1,1
2236,likeReply6,2
2237,shivangi2324,1
2238,othersdilsefoodieVerifiedBhagwan,1
2239,Das,1
2240,Ke,1
2241,Bheege,1
2242,KulcheOh,1
2243,Hoo,1
2244,Maza,1
2245,Agya,1
2246,Tha,1
2247,Khaa,1
2248,Kar.This,1
2249,Video,1
2250,Recorded,1
2251,Before,1
2252,Corona,1
2253,Pandemic.#dilsefoodie1wlokesh.lucky1100One,1
2254,thing,2
2255,videos...ur,1
2256,rich,1
2257,entices,1
2258,say,3
2259,compel,1
2260,users,1
2261,end...thanks,1
2262,Manmeet..he,1
2263,captures,1
2264,well.1w3,1
2265,likesReplyflavorsoflucknowMaza,1
2266,aagya,1
2267,bro😍1w3,1
2268,likesReplydev.hirparaBhai.,1
2269,Rekdi,1
2270,vale.,1
2271,Bhai.,1
2272,Ko.,1
2273,Nam,1
2274,se.,1
2275,Bulayy.,1
2276,Yee.,1
2277,Unhee,1
2278,achaa.,1
2279,Lagegaa😢😢1w3,1
2280,likesReplyvineet.virmani👍😍1w2,1
2281,likesReplyprince.sancheti❤️❤️❤️❤️❤️❤️❤️1w2,1
2282,likesReplymouth.wateringfood😋😋1w2,1
2283,likesReplyharsh_arora112Bheega,1
2284,kulcha,1
2285,😂😂😂,1
2286,mne,1
2287,yt,1
2288,dekha,1
2289,10,1
2290,bolne,1
2291,mila,1
2292,isko,1
2293,kulcha😂1w2,1
2294,likesReplyj4__jatin__Bhai,1
2295,address,1
2296,Caption,1
2297,type,1
2298,krdiya,1
2299,kam,2
2300,hum,2
2301,lenge,1
2302,😅😅❤❤1w2,1
2303,likesReplyeatwithruchiMaza,1
2304,💕1w2,1
2305,likesReplyrushabhdagaleBhai,1
2306,aapaka,1
2307,pet,1
2308,dukhata,1
2309,hoga1w2,1
2310,likesReplyrohitsidhuuBhai,1
2311,repeat,1
2312,dalty,1
2313,rehty,1
2314,smjh,1
2315,ni,1
2316,ata,1
2317,🙄🙄1w1,1
2318,likeReplymuhammadmoin28https://youtu.be/t4bqYDZcv0w1w1,1
2319,foodtalkindiaVerified•FollowingLiked,9
2320,irima_adler,1
2321,othersfoodtalkindiaVerifiedPizza,1
2322,doesn’t,1
2323,pizza?,1
2324,@chicagopizzaofficial,1
2325,covered,1
2326,Home,1
2327,Kit,1
2328,lucky,1
2329,premium,1
2330,DIY,3
2331,kit,1
2332,toppings!,1
2333,Here’s,1
2334,how:1.,1
2335,Tell,1
2336,topping.2.,1
2337,Tag,2
2338,lover,2
2339,you'll,1
2340,with!3.,1
2341,@chicagopizzaofficialPs.,1
2342,open,3
2343,only.,1
2344,closes,1
2345,20th,1
2346,"August,",1
2347,"Thursday,",1
2348,12,1
2349,PM.16hthegirlwiththecurlss@supritea_,1
2350,east,1
2351,"west,",1
2352,pineapple,2
2353,eez,1
2354,da,1
2355,besssht,1
2356,🍍14h2,1
2357,likesReplyms.suriyanshhiiiMine,1
2358,topping,2
2359,onion🙈,1
2360,fav❤️,1
2361,mains,1
2362,@thespoiled_ink,1
2363,@theuntold_secrets,1
2364,@mayankk200,1
2365,❤️13h4,1
2366,(2)sureenadalalPeople,1
2367,hate,1
2368,saying,1
2369,"this,",1
2370,looove,1
2371,grilled,1
2372,spices,1
2373,🙌🏻,1
2374,@sneko20,1
2375,say?16h3,1
